Timecode List:,00:00:04.438,00:00:06.840,00:00:08.876,00:00:10.878,00:00:18.585,00:00:21.855,00:00:25.125,00:00:29.830
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,133,00:00:04.438,4.438,133,00:00:04.438,4.438
2,134,00:00:04.438,4.438,205,00:00:06.840,6.840,72,00:00:02.402,2.402
3,206,00:00:06.840,6.840,266,00:00:08.876,8.876,61,00:00:02.035,2.035
4,267,00:00:08.876,8.876,326,00:00:10.878,10.878,60,00:00:02.002,2.002
5,327,00:00:10.878,10.878,557,00:00:18.585,18.585,231,00:00:07.708,7.708
6,558,00:00:18.585,18.585,655,00:00:21.855,21.855,98,00:00:03.270,3.270
7,656,00:00:21.855,21.855,753,00:00:25.125,25.125,98,00:00:03.270,3.270
8,754,00:00:25.125,25.125,894,00:00:29.830,29.830,141,00:00:04.705,4.705
9,895,00:00:29.830,29.830,895,00:00:29.863,29.863,1,00:00:00.033,0.033
