Timecode List:,00:00:01.935,00:00:02.970,00:00:03.604,00:00:06.607,00:00:07.708,00:00:08.909,00:00:13.013,00:00:18.485,00:00:20.854,00:00:21.555,00:00:23.690,00:00:27.060
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,58,00:00:01.935,1.935,58,00:00:01.935,1.935
2,59,00:00:01.935,1.935,89,00:00:02.970,2.970,31,00:00:01.034,1.034
3,90,00:00:02.970,2.970,108,00:00:03.604,3.604,19,00:00:00.634,0.634
4,109,00:00:03.604,3.604,198,00:00:06.607,6.607,90,00:00:03.003,3.003
5,199,00:00:06.607,6.607,231,00:00:07.708,7.708,33,00:00:01.101,1.101
6,232,00:00:07.708,7.708,267,00:00:08.909,8.909,36,00:00:01.201,1.201
7,268,00:00:08.909,8.909,390,00:00:13.013,13.013,123,00:00:04.104,4.104
8,391,00:00:13.013,13.013,554,00:00:18.485,18.485,164,00:00:05.472,5.472
9,555,00:00:18.485,18.485,625,00:00:20.854,20.854,71,00:00:02.369,2.369
10,626,00:00:20.854,20.854,646,00:00:21.555,21.555,21,00:00:00.701,0.701
11,647,00:00:21.555,21.555,710,00:00:23.690,23.690,64,00:00:02.135,2.135
12,711,00:00:23.690,23.690,811,00:00:27.060,27.060,101,00:00:03.370,3.370
13,812,00:00:27.060,27.060,886,00:00:29.563,29.563,75,00:00:02.502,2.502
